RI48-KT,S/2 EMB LUCKY AND I GNOME IT KITCHEN TOWEL,"2 Pack Set - Embroider Design
 Size : 18""x28""
 Case Pack: 48
 Unit Price: $2.50 each
",$120.00,outofstock,https://www.livingfashions.com/wp-content/uploads/ri48-kt.jpg
RI45-KT,S/2 EMB ST PATRICKS GNOME KITCHEN TOWEL,"2 Pack Set - Embroider Design
 Size - 18""x28""
 Case Pack: 48
 Unit Price: $2.50 each
",$120.00,outofstock,https://www.livingfashions.com/wp-content/uploads/ri45-kt.jpg
RI40-KT,S/2 EMB LUCK SHAMROCK KITCHEN TOWEL,"2 Pack Set - Embroider Design
 Size - 18""x28""
 Case Pack: 48
 Unit Price: $2.15 each
",$103.20,outofstock,https://www.livingfashions.com/wp-content/uploads/ri40-kt.jpg
RI38-KT,S/2 EMB PLAID ST PATRICKS KITCHEN TOWEL,"2 Pack Set - Embroider Design
 Size - 18""x28""
 Case Pack: 48
 Unit Price: $2.15 each
",$103.20,outofstock,https://www.livingfashions.com/wp-content/uploads/ri38-kt.jpg
RVV-029,S/2 EMB SENDING MY LOVE BIKE KITCHEN TOWEL,"2 Pack Set  - Embroider Design
 Size - 18""x28""
 Case Pack: 48
 Unit Price: $2.15 each
",$103.20,outofstock,https://www.livingfashions.com/wp-content/uploads/rvv-029.jpg
RVV-028,S/2 EMB HEART PATCH STRIPE KITCHEN TOWEL,"2 Pack Set  - Embroider Design
 Size - 18""x28""
 Case Pack: 48
 Unit Price: $2.15 each
",$103.20,outofstock,https://www.livingfashions.com/wp-content/uploads/rvv-028.jpg
190-P,TEXTILINE PLACEMAT ,"4 Asst Colors
 Size: 13"" x 19"" -  580 GSM
 Case Pack: 72
 Price: $2.00 
",$144.00,instock,https://www.livingfashions.com/wp-content/uploads/190-p.jpg
214-KT,FARMERS TABLE PRINTED KITCHEN TOWEL,"5 Designs - Flat Woven Material
 Size - 16""x28""
 Case Pack: 60
 Price: $1.45
",$87.00,instock,https://www.livingfashions.com/wp-content/uploads/214-kt.jpg
1126-KT,EVERYDAY PRINTED KITCHEN TOWEL,"2 Pack Set - 4 Designs  - Flour Sack
 Size: 15""x25"" 
 Case Pack: 48
 Price: $ 2.10 each
",$100.80,instock,https://www.livingfashions.com/wp-content/uploads/1126-kt.jpg
2444-DC,2PK BARMOP DISHCLOTH,"2 Pack Set - 6 Colors
 12""X12"" - 35g
 Case Pack: 72
 Unit Price: $ 0.95 each
 Match with 6661-KT
",$68.40,instock,https://www.livingfashions.com/wp-content/uploads/2444-dc.jpg
1970-HT,HAND TOWEL,"1 pack; 4 Colors - Weight: 108g
 Siz: 15"" x 25""
 Case Pack: 72
 Price: $ 1.05 
 Match with 1980-WC, 1960-BT
",$75.60,instock,https://www.livingfashions.com/wp-content/uploads/1970-ht.jpg
3088-WC,2PK WASH CLOTH,"2 Pack Set - 7 Colors - 12 Each Color
 12"" x 12"" -  52 g
 Case Pack: 84
 Unit Price: $ 1.05 each
 Match with 4070-HT, 4060-BT
",$88.20,instock,https://www.livingfashions.com/wp-content/uploads/3088-wc.jpg
513-TH,JACQUARD COTTON THROW BLANKET,"4  Designs -750-775 grams
 Size: 50""x 60"",
 Case Pack: 12
 Price: $8.00 each
",$96.00,instock,https://www.livingfashions.com/wp-content/uploads/513-th.jpg
888-R,BUFFALO PLAID WOVEN RUNNER,"4 Colors -  Size: 13""x48"" - Cotton
 Case Pack: 36
 Price: $3.00
 Match with item 388-KT, 688-OP, 988-AP & 188-P
",$108.00,outofstock,https://www.livingfashions.com/wp-content/uploads/888-r.jpg
LA-KT,SAYINGS KITCHEN TOWEL,"15"" X  25""
 Case Pack: 72
 Unit Price: $ 0.95 each
 Floursack Material
",$68.40,instock,https://www.livingfashions.com/wp-content/uploads/la-kt.jpg
989-WB,COTTON CANVAS SAYING WINE BAG ,"4 Designs - Size: 5.25"" x 13.5""
 Case Pack:  72 
 Price: $0.95 each
",$68.40,instock,https://www.livingfashions.com/wp-content/uploads/989-wb.jpg
6079-BD,BAR MOP DISHCLOTH ,"Set of 6 - White Color
 Size: 12"" X 12"" - 13.5oz
 Case Pack: 48
 Unit Price: $ 2.50 each
",$120.00,instock,https://www.livingfashions.com/wp-content/uploads/6079-bd.jpg
138-P,PREMIUM TEXTILINE PLACEMAT ,"4 Colors
 13"" x 19"" -  580 - 600 GSM
 Case Pack: 72
 Unit Price: $2.00 each
",$144.00,instock,https://www.livingfashions.com/wp-content/uploads/138-p.jpg
144-P,TEXTILINE PLACEMAT ,"4 Colors
 13"" x 19""
 Case Pack: 72
 Unit Price: $2.00 each
",$144.00,instock,https://www.livingfashions.com/wp-content/uploads/144-p.jpg
157-P,TEXTILINE PLACEMAT ,"4 Colors - Diamond Texture
 Size: 13"" x 19"" - 580GSM
 Case Pack: 72
 Price: $2.00 
",$144.00,instock,https://www.livingfashions.com/wp-content/uploads/157-p.jpg
NA-703,"FLOUR SACK KITCHEN TOWEL, WHITE","26""X26""
 Case Pack: 72
 Unit Price: $ 1.00 each
",$72.00,instock,https://www.livingfashions.com/wp-content/uploads/na-703.jpg
988-AP,BUFFALO PLAID WOVEN APRON,"3 Colors - 100% Cotton
 Item Size: 24"" X 30""
 Case Pack: 48
 Unit Price: $ 2.35 each
 Match with item 388 KT, 188-P, 688-OP & 888-R
",$112.80,instock,https://www.livingfashions.com/wp-content/uploads/988-ap.jpg
363-KT,AMERICANA PRINTED KITCHEN TOWEL,"3 Designs - 15""x25"" - Flat Woven
 Case Pack: 72
 Unit Price: $ 0.95 each
 Match with item 663-OP
  
 ""God Bless America, My Home Sweet Home""
 ""Stars & Stripes Forever""
",$68.40,instock,https://www.livingfashions.com/wp-content/uploads/363-kt.jpg
663-OP,AMERICANA PRINTED OVENMITS & POTHOLDERS SET,"3 Designs; 36 Ovenmits and 36 Potholders
 Case Pack: 72
 Price: $ 0.85 
 Match with item 363 KT
  
 ""God Bless America, My Home Sweet Home""
 ""Stars & Stripes Forever""
",$68.40,instock,https://www.livingfashions.com/wp-content/uploads/663-op.jpg
136-P,NAUTICAL TAPESTRY PLACEMAT,"3 Designs - 13"" X 19""
 Case Pack: 72
 Unit Price: $0.95 each
",$68.40,instock,https://www.livingfashions.com/wp-content/uploads/136-p.jpg
2525-TB,TOTE BAG ASSORTED COLORS,"Size: 14"" x 19"" x 7""
 Case Pack: 48
 Price:  $3.75
 Weight: 410 GSM, 12oz
",$180.00,instock,https://www.livingfashions.com/wp-content/uploads/2525-tb.jpg
TOT 2514,TOTE BAG MEDIUM WHITE ,"14"" X 13"" X 3"", 270 GSM, 8 OZ
 100% Cotton Canvas
 Case Pack: 48
 Unit Price: $ 1.25 Each
",$60.00,instock,https://www.livingfashions.com/wp-content/uploads/tot 2514.jpg
1177-R,RANDOLPH COTTON WOVEN RUG,"20""x 32""
 Case Pack: 24
 Unit Price: $ 4.50 each
",$108.00,instock,https://www.livingfashions.com/wp-content/uploads/1177-r.jpg
901-CB,"THE ""SHOPPER"" TOTE BAG","4 Designs
 16"" x 18"" x 5""
 Case Pack: 48
 Unit Price: $2.00
",$96.00,instock,https://www.livingfashions.com/wp-content/uploads/901-cb.jpg
354-KT,FLORAL PRINTED KITCHEN TOWEL,"3 Designs
 15"" X 25""
 Case Pack: 72
 Unit Price: $ 0.95 each
 Match With Item 654-OP
",$68.40,instock,https://www.livingfashions.com/wp-content/uploads/354-kt.jpg
654-OP,FLORAL PRINTED OVENMITS & POTHOLDERS SET,"3 Designs; 36 Ovenmits and 36 Potholders 
 Case Pack: 72
 Unit Price: 0.95 each
 Match With Item 354-KT
",$68.40,instock,https://www.livingfashions.com/wp-content/uploads/654-op.jpg
4970-DC,2PK GEOMETRIC PRINTED DISHCLOTH,"2 Pack Set - 4 Designs  - Microfiber - 100% Polyester
 Size: 12""X12"" - Microfiber - 100% Polyester
 Case Pack: 144
 Unit Price: $ 0.95
 Match with 3970-KT, 2222-DM
",$136.80,instock,https://www.livingfashions.com/wp-content/uploads/4970-dc.jpg
526-KPS,BLESSED TAPESTRY KPS,"72 Placemats; 48 Kitchen Towels, 12 Pot Holder, 12 Oven Mitt
 Case Pack: 144
 Unit Price: $ 0.95 each
 *Case pack includes individual pieces, not packed as a set*
",$136.80,instock,https://www.livingfashions.com/wp-content/uploads/526-kps.jpg
134-P,TROPICAL TAPESTRY PLACEMAT,"3 Designs - 13"" x 19""
 Case Pack: 72
 Unit Price: $ 0.95 each
  
 ""Pineapples""
 ""Flamingos""
 ""Flowers""
",$68.40,instock,https://www.livingfashions.com/wp-content/uploads/134-p.jpg
148-P,CAFE TAPESTRY PLACEMAT,"3 Designs - Size: 13"" x 19""
 Case Pack: 72
 Price: $ 0.95
",$68.40,instock,https://www.livingfashions.com/wp-content/uploads/148-p.jpg
1189-R,MESA COTTON WOVEN RUG,"20""x 32""
 Case Pack: 24
 Unit Price: $ 4.50 each
",$108.00,instock,https://www.livingfashions.com/wp-content/uploads/1189-r.jpg
632-OP,FRUIT PRINTED OVENMITS & POTHOLDERS SET,"3 Designs; 36 Ovenmits and 36 Potholders
 Case Pack: 72
 Unit Price: 0.95 each
 Match With Item 332-KT
",$68.40,instock,https://www.livingfashions.com/wp-content/uploads/632-op.jpg
332-KT,FRUIT TERRY PRINT KITCHEN TOWEL,"3 Designs
 15"" x 25""
 Case Pack: 72
 Unit Price: $ 0.95 each
 Match With Item 632-OP
",$68.40,instock,https://www.livingfashions.com/wp-content/uploads/332-kt.jpg
689-MM,FALL WOVEN MINI OVEN MITT,"2 Pack Set - 3 Designs - Plaid Pattern
 7.5"" X 5"" - 85g/pc
 Case Pack: 24
 Unit Price:$ 4.00 each
",$96.00,instock,https://www.livingfashions.com/wp-content/uploads/689-mm.jpg
822-R,EVERYDAY TAPESTRY RUNNER,"4 Designs - Size:13"" x 48""
 Case Pack: 48
 Price: $ 3.00 
 Match with Item 122-P
",$144.00,instock,https://www.livingfashions.com/wp-content/uploads/822-r.jpg
4980-DC,2PK DISH CLOTH ,"4 Colors
 12"" X 12"" - 100% Polyester, 220GSM
 Case Pack: 144
 Unit Price: $ 0.95 each
",$136.80,instock,https://www.livingfashions.com/wp-content/uploads/4980-dc.jpg
